,Name,University,id
400,Thomas Abeel,TU Delft,eCS5_oAAAAAJ
401,Mathijs Michiel de Weerdt,TU Delft,9GJ8AvgAAAAJ
402,Odette Scharenborg,TU Delft,hyz2eHkAAAAJ
403,Klaus-Tycho Foerster,TU Dortmund,bLUw_IkAAAAJ 
404,H. Dieter Rombach,TU Kaiserslautern,OpsrHLAAAAAJ
405,Martin Schulz,TU Munich,n1o6g-YAAAAJ
406,Robert Sablatnig,TU Wien,iMlKiaEAAAAJ
407,Yossi Azar,Tel Aviv University,ShzSUnwAAAAJ
408,Michal Feldman,Tel Aviv University,IKjIhTwAAAAJ
409,Hye-Chung (Monica) Kum,Texas A&M University,Q1QxnqoAAAAJ
410,Beena Ahmed,Texas A&M at Qatar,giTayZwAAAAJ
411,Yang Xiao,The University of Alabama,HSxTENAAAAAJ
412,Takanori Kigawa,Tokyo Institute of Technology,jSi1DZ0AAAAJ
413,Osamu Watanabe,Tokyo Institute of Technology,d7xpGDUAAAAJ
414,Keisuke Tanaka,Tokyo Institute of Technology,sNHvEUwAAAAJ
415,Subrata Acharya,Towson University,SswwbDoAAAAJ
416,Wei Yu,Towson University,jLWO9-0AAAAJ
417,Longbo Huang,Tsinghua University,g9d_K0sAAAAJ
418,Hui Wang,Tsinghua University,fcLOhBoAAAAJ
419,Xiaoping Zhang,Tsinghua University,p82_4bgAAAAJ
420,Yong Deng,UESTC,8voeILsAAAAJ
421,Bing Zeng,UESTC,s-kUGYQAAAAJ
422,Lisi Chen,UESTC,2YD5wcEAAAAJ
423,Hongwei Li,UESTC,#NAME?
424,Yang Yang,UESTC,PVv2xDYAAAAJ
425,M. B. Do Coutto Filho,UFF,C7WY29gAAAAJ
426,Marcos Lage,UFF,ltxcRtwAAAAJ
427,Igor M. Moraes,UFF,zFaRYScAAAAJ
428,Jeroen van de Graaf,UFMG,#NAME?
429,Jussara M. Almeida,UFMG,pkf_HjEAAAAJ
430,Edson Takashi Matsubara,UFMS,#NAME?
431,Paulo S. G. de Mattos Neto,UFPE,4jmNb3gAAAAJ
432,Viviane Moreira Orengo,UFRGS,#NAME?
433,Rosa Maria Vicari,UFRGS,XsX10SQAAAAJ
434,Ingrid Nunes,UFRGS,#NAME?
435,Nelson Maculan,UFRJ,BxuuIPUAAAAJ
436,Sulamita Klein,UFRJ,r4ZrGiIAAAAJ
437,Luidi Gelabert Simonetti,UFRJ,xOugM_4AAAAJ
438,Wenwen Dou,UNC - Charlotte,NRrQjcIAAAAJ
439,Min Shin,UNC - Charlotte,T50sdQ8AAAAJ
440,Erik Saule,UNC - Charlotte,QoClHFIAAAAJ
441,Samira Shaikh,UNC - Charlotte,IM-64IoAAAAJ
442,Srinivas Akella,UNC - Charlotte,vPOJwdkAAAAJ
443,Leandro A. Villas,UNICAMP,7ZTnzxQAAAAJ
444,Sandro Rigo,UNICAMP,Bkd9ZXkAAAAJ
445,Islene C. Garcia,UNICAMP,q3MhHJQAAAAJ
446,Paulo L. de Geus,UNICAMP,XK0LjgUAAAAJ
447,Sungahn Ko,UNIST,xkJvgb0AAAAJ
448,Michael Bain,UNSW,5fHeakAAAAAJ
449,John Shepherd,UNSW,DvBnii4AAAAJ
450,William H. Wilson,UNSW,RTUXk9IAAAAJ
451,Andrew Taylor,UNSW,bODP_fkAAAAJ
452,Junior Barrera,USP,NbfbLAwAAAAJ
453,Carlos H. Morimoto,USP,ylIa7EoAAAAJ
454,Walter F. Mascarenhas,USP,AifN5CUAAAAJ
455,Jaime Simao Sichman,USP,rlSHIHIAAAAJ
456,Roberto Hirata Jr,USP,Z6UgkRkAAAAJ
457,Paulo S. L. Souza,USP-ICMC,epwMhL4AAAAJ
458,André C. P. L. F. Carvalho,USP-ICMC,B3L9jQMAAAAJ
459,Renata P. M. Fortes,USP-ICMC,5_c3LVUAAAAJ
460,Yinxing Xue,USTC,#NAME?
461,Xike Xie,USTC,_7me62sAAAAJ
462,Joseph E. Gonzalez,Univ. of California - Berkeley,gM2WW9UAAAAJ
463,Ronald S. Fearing,Univ. of California - Berkeley,mx9gMZ4AAAAJ
464,Jonathan Richard Shewchuk,Univ. of California - Berkeley,R9ZW47sAAAAJ
465,Hany Farid,Univ. of California - Berkeley,VEdybxgAAAAJ
466,Nir Yosef,Univ. of California - Berkeley,eQ8KEHoAAAAJ
467,Peter Bartlett,Univ. of California - Berkeley,UPVvV6kAAAAJ
468,Marti A. Hearst,Univ. of California - Berkeley,Yy6xbCYAAAAJ
469,Laurent El Ghaoui,Univ. of California - Berkeley,3XLQbL8AAAAJ
470,Kurt Keutzer,Univ. of California - Berkeley,IzaagZkAAAAJ
471,Avideh Zakhor,Univ. of California - Berkeley,XV8QLVQAAAAJ
472,Nilah Ioannidis,Univ. of California - Berkeley,uNNLZxYAAAAJ
473,Bernd Hamann,Univ. of California - Davis,aNRlTa8AAAAJ
474,Iftekhar Ahmed,Univ. of California - Irvine,_TdMD7sAAAAJ
475,Rina Dechter,Univ. of California - Irvine,Uph176YAAAAJ
476,Joshua Garcia,Univ. of California - Irvine,JeZRY7cAAAAJ
477,J. G. Tanenbaum,Univ. of California - Irvine,hiCKhpkAAAAJ
478,Adnan Darwiche,Univ. of California - Los Angeles,pygPWvEAAAAJ
479,Pengfei Su,Univ. of California - Merced,LAttsHIAAAAJ
480,Mohsen Lesani,Univ. of California - Riverside,cVLicJYAAAAJ
481,Babak Salimi,Univ. of California - San Diego,C8hpXkAAAAJ
482,Andrew B. Kahng,Univ. of California - San Diego,zCO_h3cAAAAJ
483,Nuno Bandeira,Univ. of California - San Diego,dufShEsAAAAJ
484,Tajana Rosing,Univ. of California - San Diego,CeieiIgAAAAJ
485,Jennifer Jacobs,Univ. of California - Santa Barbara,z0C-QBoAAAAJ
486,Demetrios Achlioptas,Univ. of California - Santa Cruz,yi9qu1cAAAAJ
487,Yi Zhang,Univ. of California - Santa Cruz,oyH8KMcAAAAJ
488,Phokion G. Kolaitis,Univ. of California - Santa Cruz,Lu7biGYAAAAJ
489,Alex Pang,Univ. of California - Santa Cruz,wYggXHoAAAAJ
490,Patrick Mantey,Univ. of California - Santa Cruz,hiMLVtwAAAAJ
491,Anujan Varma,Univ. of California - Santa Cruz,z9lI9VIAAAAJ
492,Kirill Levchenko,Univ. of Illinois at Urbana-Champaign,bVGlTd4AAAAJ
493,Gang Wang,Univ. of Illinois at Urbana-Champaign,#NAME?
494,Nitin H. Vaidya,Univ. of Illinois at Urbana-Champaign,C4kPEC0AAAAJ
495,Kris Hauser,Univ. of Illinois at Urbana-Champaign,#NAME?
496,Jeff Erickson,Univ. of Illinois at Urbana-Champaign,uS9jHPkAAAAJ
497,Catherine Blake,Univ. of Illinois at Urbana-Champaign,Dyxv_DQAAAAJ
498,Klara Nahrstedt,Univ. of Illinois at Urbana-Champaign,CUO0vDcAAAAJ
499,Yun Huang,Univ. of Illinois at Urbana-Champaign,QgHcQBsAAAAJ
500,Nilanjan Banerjee,Univ. of Maryland - Baltimore County,ElJBmvgAAAAJ
501,Mohamed F. Younis,Univ. of Maryland - Baltimore County,Q4MvxMIAAAAJ
502,Luciana Benotti,Universidad Nacional de Córdoba,QqsVx-oAAAAJ
503,Aidan Hogan,Universidad de Chile,CP-fgY4AAAAJ
504,Ana Serrano,Universidad de Zaragoza,#NAME?
505,Harold Castro,Universidad de los Andes,vjnqZo8AAAAJ
506,José T. Hernández,Universidad de los Andes,#NAME?
507,Alysson Bessani,Universidade de Lisboa,#NAME?
508,Manuel C. Lopes,Universidade de Lisboa,8tO0CikAAAAJ
509,Graça Gaspar,Universidade de Lisboa,Y7mExc8AAAAJ
510,Isabel Nunes,Universidade de Lisboa,CLnZIEQAAAAJ
511,Helena Sarmento,Universidade de Lisboa,cn9nh7UAAAAJ
512,Pedro Manuel Antunes Sousa,Universidade de Lisboa,LksdyM8AAAAJ
513,Colm Ryan,University College Dublin,1CX1kd8AAAAJ
514,M. Tahar Kechadi,University College Dublin,N-0-CjwAAAAJ
515,Graham Knight,University College London,HdunwTkAAAAJ
516,Hui Gary Zhang,University College London,Ii9_OYMAAAAJ
517,Ingemar J. Cox,University College London,b88nUpYAAAAJ
518,Anthony Hunter,University College London,N7ETYzcAAAAJ
519,Charalampos Chelmis,University at Albany - SUNY,#NAME?
520,Lukasz Ziarek,University at Buffalo,Bi8bhC0AAAAJ
521,Nieves R. Brisaboa,University of A Coruña,#NAME?
522,Markus Wagner,University of Adelaide,DVbOu8MAAAAJ
523,Ramazan Aygun,University of Alabama - Huntsville,ptQHOV0AAAAJ
524,Peter Slater,University of Alabama - Huntsville,c2Zg-x8AAAAJ
525,Denilson Barbosa,University of Alberta,usr3H7gAAAAJ
526,Richard S. Sutton,University of Alberta,hNTyptAAAAAJ
527,James R. Wright,University of Alberta,#NAME?
528,Jan-Willem van de Meent,University of Amsterdam,CX9Lu38AAAAJ
529,Alon Efrat,University of Arizona,QH90248AAAAJ
530,Yarui Peng,University of Arkansas,IjBaWWcAAAAJ
531,Shucheng Yu,University of Arkansas - Little Rock,jYW_WCwAAAAJ
532,Mariofanna Milanova,University of Arkansas - Little Rock,oJr0BfEAAAAJ
533,Georgios Kouroupetroglou,University of Athens,Kp5FaxoAAAAJ
534,Clark D. Thomborson,University of Auckland,jFEDehcAAAAJ
535,David Welch,University of Auckland,W3-SgVAAAAAJ
536,Peter Hall,University of Bath,Tgz4GT8AAAAJ
537,Dominik Henrich,University of Bayreuth,w8FwIsEAAAAJ
538,Angela Yao,University of Bonn,#NAME?
539,Kerstin Eder,University of Bristol,SyDaZIoAAAAJ
540,Steven J. Ramsay,University of Bristol,mxxKCzcAAAAJ
541,Anne Roudaut,University of Bristol,03epP5wAAAAJ
542,Leonid Sigal,University of British Columbia,Ywx45aQAAAAJ
543,Michael P. Friedlander,University of British Columbia,mOgIIH4AAAAJ
544,James Tam,University of Calgary,CDVDYysAAAAJ
545,Jun Wang,University of Central Florida,wYNgwnMAAAAJ
546,Nazanin Rahnavard,University of Central Florida,PzgFISkAAAAJ
547,Yuxin Chen,University of Chicago,#NAME?
548,Ken Nakagaki,University of Chicago,#NAME?
549,Richard Han,University of Colorado Boulder,mah-B4IAAAAJ
550,Shivakant Mishra,University of Colorado Boulder,0RMteS0AAAAJ
551,Elizabeth Bradley,University of Colorado Boulder,5HLGWrIAAAAJ
552,John Black,University of Colorado Boulder,nlleO34AAAAJ
553,Majid Zamani,University of Colorado Boulder,#NAME?
554,Nolen Scaife,University of Colorado Boulder,r9uneEYAAAAJ
555,Christoffer Heckman,University of Colorado Boulder,#NAME?
556,Chun-Hsi Huang,University of Connecticut,FoAvSQcAAAAJ
557,Finn Kensing,University of Copenhagen,m_e3GYkAAAAJ
558,Pernille Bjørn,University of Copenhagen,ZbzjucYAAAAJ
559,Marcos Antonio Vaz Salles,University of Copenhagen,8ob18bQAAAAJ
560,Vassilis Christophides,University of Crete,KolmTncAAAAJ
561,Sunita Chandrasekaran,University of Delaware,deLqgtMAAAAJ
562,Paul Amer,University of Delaware,CNjiRFQAAAAJ
563,Iain Murray,University of Edinburgh,WfuoPHIAAAAJ
564,Gerhard Wellein,University of Erlangen–Nuremberg,1fQ6-mEAAAAJ
565,Marc Berges,University of Erlangen–Nuremberg,#NAME?
566,Nicos Angelopoulos,University of Essex,#NAME?
567,Jianhua He,University of Essex,Sq03a0UAAAAJ
568,Jinya Su,University of Essex,tTfMHMoAAAAJ
569,Richard M. Everson,University of Exeter,2XJDEWUAAAAJ
570,Richard E. Newman,University of Florida,7im4NjEAAAAJ
571,Kejun Huang,University of Florida,ozTLHs8AAAAJ
572,John A. Miller,University of Georgia,zTBeQq0AAAAJ
573,J. Paul Siebert,University of Glasgow,DoEOa80AAAAJ
574,Gertjan van Noord,University of Groningen,dgU9Yq0AAAAJ
575,Mark Wineberg,University of Guelph,1IwCKpcAAAAJ
576,Noga Ron-Zewi,University of Haifa,#NAME?
577,Susanne Still,University of Hawaii at Manoa,UmpP5c0AAAAJ
578,Lennart Johnsson,University of Houston,Sm6LugIAAAAJ
579,William Mansky,University of Illinois at Chicago,#NAME?
580,Patrick Troy,University of Illinois at Chicago,G7wW4HoAAAAJ
581,Jan Beutel,University of Innsbruck,LRkwAAAAJ
582,Rene Thiemann,University of Innsbruck,NOSHOLARPAGE
583,Alberto M. Segre,University of Iowa,IXnzCb8AAAAJ
584,Reza Ahmadi,University of Kansas,NmDhU5wAAAAJ
585,Cody Bumgardner,University of Kentucky,#NAME?
586,Simone Silvestri,University of Kentucky,r4hdOZMAAAAJ
587,Dirk Henri Nowotka,University of Kiel,#NAME?
588,Erich Christian Teppan,University of Klagenfurt,#NAME?
589,Norbert Siegmund,University of Leipzig,#NAME?
590,Darek Kowalski,University of Liverpool,HbzofJcAAAAJ
591,Alfred Mertins,University of Lübeck,#NAME?
592,Floris Ernst,University of Lübeck,#NAME?
593,Ernesto William De Luca,University of Magdeburg,j0Z4fwAAAAJ
594,Ram Gopal Raj,University of Malaya,46t8jZUAAAAJ
595,Norisma Binti Idris,University of Malaya,jCqXPzYAAAAJ
596,Liyana Shuib,University of Malaya,qXTI0QAAAAJ
597,Peter C. J. Graham,University of Manitoba,5suVxUYAAAAJ
598,Noman Mohammed,University of Manitoba,8xIFX4wAAAAJ
599,Christoph Bockisch,University of Marburg,#NAME?
600,Michael P. Cummings,University of Maryland - College Park,0ahvXiEAAAAJ
601,Ramani Duraiswami,University of Maryland - College Park,BVXyodYAAAAJ
602,Adam A. Porter,University of Maryland - College Park,j7F7yq0AAAAJ
603,Ashok K. Agrawala,University of Maryland - College Park,Ytr5Y78AAAAJ
604,William C. Regli,University of Maryland - College Park,#NAME?
605,Marine Carpuat,University of Maryland - College Park,EAQfVXgAAAAJ
606,Donald Yeung,University of Maryland - College Park,HoDilBYAAAAJ
607,Dana Dachman-Soled,University of Maryland - College Park,amIl4GwAAAAJ
608,Ramalingam Chellappa,University of Maryland - College Park,mZxsTCcAAAAJ
609,Ankur Srivastava,University of Maryland - College Park,rx92O6IAAAAJ
610,James F. Kurose,University of Massachusetts Amherst,ogj8ppAAAAAJ
611,Stefan Krastanov,University of Massachusetts Amherst,#NAME?
612,Hui Guan,University of Massachusetts Amherst,L2P0jCsAAAAJ
613,Donghyun Kim,University of Massachusetts Amherst,m2tttd0AAAAJ
614,Cindy X. Chen,University of Massachusetts Lowell,dtaR0JYAAAAJ
615,Graeme G. Shanks,University of Melbourne,or0dr-4AAAAJ
616,Wally Smith,University of Melbourne,hja_w14AAAAJ
617,Shanika A. Karunasekera,University of Melbourne,WG0tRVcAAAAJ
618,Martin R. Gibbs,University of Melbourne,1ewxP20AAAAJ
619,Melissa J. Rogerson,University of Melbourne,#NAME?
620,Sherah Kurnia,University of Melbourne,vasVu8sAAAAJ
621,Christoph Treude,University of Melbourne,#NAME?
622,Mahsa Mirzargar,University of Miami,nm7Oe6sAAAAJ
623,Joyce Chai,University of Michigan,9BXK9HwAAAAJ
624,Scott A. Mahlke,University of Michigan,#NAME?
625,Marouane Kessentini,University of Michigan-Dearborn,5oW_MA8AAAAJ
626,Youcef Saad,University of Minnesota,90qiDCwAAAAJ
627,Dawn E. Wilkins,University of Mississippi,wIzASCoAAAAJ
628,Zhihai He,University of Missouri,MtGYBCcAAAAJ
629,Bernard Gendron,University of Montreal,GZ8UOVsAAAAJ
630,Glen Berseth,University of Montreal,#NAME?
631,Bernhard Thomaszewski,University of Montreal,Qtzmow0AAAAJ
632,Jesualdo Tomás Fernández-Breis,University of Murcia,KaEwPLIAAAAJ
633,Robert Dyer,University of Nebraska,#NAME?
634,Prithviraj Dasgupta,University of Nebraska - Omaha,DOlGwQIAAAAJ
635,George Bebis,University of Nevada,#NAME?
636,Kazem Taghva,University of Nevada Las Vegas,m4mAgIgAAAAJ
637,Ju-yeon Jo,University of Nevada Las Vegas,hqccsn8AAAAJ
638,Shashank Srivastava,University of North Carolina,#NAME?
639,Toby Jia-Jun Li,University of Notre Dame,qCUO0kAAAAJ
640,Armaghan Moemeni,University of Nottingham,b6FUrnoAAAAJ
641,Alexander P. Turner,University of Nottingham,XJ8sNiIAAAAJ
642,John K. Antonio,University of Oklahoma,9A8vgocAAAAJ
643,Martin Andrews,University of Oxford,si3UgDwAAAAJ
644,Hans P. Reiser,University of Passau,yR6ZjJsAAAAJ
645,James C. Gee,University of Pennsylvania,fU8fmEIAAAAJ
646,Camillo J. Taylor,University of Pennsylvania,vMDCJHcAAAAJ
647,Dan Roth,University of Pennsylvania,WHOHV3AAAAAJ
648,Insup Lee,University of Pennsylvania,kBGGEjUAAAAJ
649,Shivani Agarwal,University of Pennsylvania,z7lkXXkAAAAJ
650,Sampath Kannan,University of Pennsylvania,aiPgs4oAAAAJ
651,George P. Efthymoglou,University of Piraeus,cCKSs3sAAAAJ
652,Luca Gemignani,University of Pisa,PtMCtZsAAAAJ
653,Erin Walker,University of Pittsburgh,5P7Vo2IAAAAJ
654,Norbert Gronau,University of Potsdam,FmSsSYwAAAAJ
655,Graeme Smith,University of Queensland,HYas6BgAAAAJ
656,Ryan K. L. Ko,University of Queensland,doBtsCkAAAAJ
657,Roberto Tagliaferri,University of Salerno,lwgZxjIAAAAJ
658,Francesco Tortorella,University of Salerno,#NAME?
659,Filomena Ferrucci,University of Salerno,6LDD4w0AAAAJ
660,Chanchal Roy,University of Saskatchewan,cEZKjXgAAAAJ
661,Loïc Barrault,University of Sheffield,i4IBjw4AAAAJ
662,Jon Barker,University of Sheffield,#NAME?
663,Markus Lohrey,University of Siegen,uWRe_70AAAAJ
664,Vignesh Narayanan,University of South Carolina,IXy6vzsAAAAJ
665,Marco G. Valtorta,University of South Carolina,IXWSOxcAAAAJ
666,Andrew Sogokon,University of Southampton,#NAME?
667,Neil M. White,University of Southampton,#NAME?
668,Timothy J. Norman,University of Southampton,8Rt0X9AAAAAJ
669,Fei Sha,University of Southern California,8rttV7kAAAAJ
670,Kai Hwang,University of Southern California,R7eCjGYAAAAJ
671,Bikramjit Banerjee,University of Southern Mississippi,WHs9gMMAAAAJ
672,Amer Dawoud,University of Southern Mississippi,2O9BsM0AAAAJ
673,Ian Gent,University of St Andrews,ufUvmEAAAAJ
674,Saleem Bhatti,University of St Andrews,0JYLOawAAAAJ
675,Ishbel Duncan,University of St Andrews,xQX91TcAAAAJ
676,Bing Bing Zhou,University of Sydney,YVvMM_MAAAAJ
677,Tony He,University of Technology Sydney,x2Q5BscAAAAJ
678,Jonghyuk Kim,University of Technology Sydney,58mjI9UAAAAJ
679,Barry Jay,University of Technology Sydney,Ml9nDYQAAAAJ
680,Kai Sun,University of Tennessee,O_2drywAAAAJ
681,Max Schuchard,University of Tennessee,#NAME?
682,Nicole McFarlane,University of Tennessee,gC6GzlEAAAAJ
683,Natalia Villanueva-Rosales,University of Texas - El Paso,DCfeFYQAAAAJ
684,Shirin Nilizadeh,University of Texas at Arlington,PxFbFJgAAAAJ
685,Vijay Chidambaram,University of Texas at Austin,KlpusxAAAAAJ
686,Eunsol Choi,University of Texas at Austin,dCEcahMAAAAJ
687,Neeraj Mittal,University of Texas at Dallas,V9MH9v8AAAAJ
688,Sanda M. Harabagiu,University of Texas at Dallas,fkyBx9EAAAAJ
689,Rishabh K. Iyer,University of Texas at Dallas,XxJ1kAAAAJ
690,Latifur Khan,University of Texas at Dallas,7nERaWEAAAAJ
691,B. Prabhakaran,University of Texas at Dallas,BENEK78AAAAJ
692,Eitan Grinspun,University of Toronto,0_vvBZkAAAAJ
693,Mark H. Chignell,University of Toronto,etEk4e0AAAAJ
694,Nicola Conci,University of Trento,mR1GK28AAAA
695,Mizuki Oka,University of Tsukuba,7Vzt_YAAAAJ
696,Yoshiyuki Sankai,University of Tsukuba,lhQsG-MAAAAJ
697,Susanne Biundo,University of Ulm,H_f_vikAAAAJ
698,Blair D. Sullivan,University of Utah,oZBtvZMAAAAJ
699,Jake J. Abbott,University of Utah,GyeogAAAAJ
700,Ladislav Kavan,University of Utah,6YTlV5oAAAAJ
701,R. Michael Young,University of Utah,HLz6zx4AAAAJ
702,Safwan Wshah,University of Vermont,7fk521IAAAAJ
703,David E. Evans,University of Virginia,gzdrT_4AAAAJ
704,Madhav Marathe,University of Virginia,cLjMQqsAAAAJ
705,Matthew B. Dwyer,University of Virginia,#NAME?
706,Judy Bowen,University of Waikato,XIaYOU8AAAAJ
707,Andrzej Janusz,University of Warsaw,QRGN2ywAAAAJ
708,Matthias Englert,University of Warwick,vcrghDoAAAAJ
709,Tanushree Mitra,University of Washington,pgKClXQAAAAJ
710,Sewoong Oh,University of Washington,55TAOdgAAAAJ
711,Ranjay Krishna,University of Washington,IcqahyAAAAAJ 
712,Linda G. Shapiro,University of Washington,6pGeV2wAAAAJ
713,Gary Hsieh,University of Washington,#NAME?
714,Adriana Schulz,University of Washington,2D6rV-UAAAAJ
715,Leilani Battle,University of Washington,9ghHK7sAAAAJ
716,Lila Kari,University of Waterloo,HqqZlPUAAAAJ
717,James R. Wallace,University of Waterloo,CxDo9sAAAAJ
718,Daniel G. Brown,University of Waterloo,cD37cXcAAAAJ
719,Stephen Mann,University of Waterloo,r8jslMgAAAAJ
720,Bruce S. Gardiner,University of Western Australia,C3DocZEAAAAJ
721,Pooya Moradian Zadeh,University of Windsor,x9lHn5IAAAAJ
722,Alioune Ngom,University of Windsor,vUU3s6cAAAAJ
723,Boubakeur Boufama,University of Windsor,#NAME?
724,Ziad Kobti,University of Windsor,#NAME?
725,Ramya Korlakai Vinayak,University of Wisconsin - Madison,#NAME?
726,Yea-Seul Kim,University of Wisconsin - Madison,HYUvsFEAAAAJ
727,Jignesh M. Patel,University of Wisconsin - Madison,5tcfuXMAAAAJ
728,Dan Negrut,University of Wisconsin - Madison,Olsi_owAAAAJ
729,Christopher Power,University of York,1ZA0JtcAAAAJ
730,Delaram Kahrobaei,University of York,ScTS9PkAAAAJ
731,Neil C. Audsley,University of York,D65ZWSgAAAAJ
732,Peter I. Cowling,University of York,xQ7IpL8AAAAJ
733,Vassilios G. Vassilakis,University of York,#NAME?
734,Suresh Manandhar,University of York,5iH8GVIAAAAJ
735,Daning Hu,University of Zurich,d_RBF58AAAAJ
736,Cesare Alippi,Università della Svizzera italiana,SCZObbIAAAAJ
737,Kamal Deep Singh,Université Jean Monnet,mDLQC0EAAAAJ
738,Richard Khoury,Université Laval,PgyHf0oAAAAJ
739,Gabriel Girard,Université de Sherbrooke,#NAME?
740,Carolina Wählby,Uppsala University,eRR9pK4AAAAJ
741,Stefanos Kaxiras,Uppsala University,#NAME?
742,Amanda Lee Hughes,Utah State University,Sjbz8ngAAAAJ
743,Slinger Jansen,Utrecht University,e13z2YAAAAJ
744,Amir Vaxman,Utrecht University,1btDzYAAAAJ
745,Spyros Voulgaris,VU Amsterdam,M_tdQJAAAAAJ
746,Philippe M. Fauchet,Vanderbilt University,dHiM2IcAAAAJ
747,Forrest J. Laine,Vanderbilt University,raa7w5YAAAAJ
748,Sokrates T. Pantelides,Vanderbilt University,forPRN8AAAAJ
749,Cang Ye,Virginia Commonwealth University,3kvDgyMAAAAJ
750,Vojislav Kecman,Virginia Commonwealth University,2TOvEFoAAAAJ
751,Eugenia Ha Rim Rho,Virginia Tech,RWpkmWwAAAAJ
752,Dimitrios S. Nikolopoulos,Virginia Tech,#NAME?
753,Edward A. Fox,Virginia Tech,uDwy_JgAAAAJ
754,Doug A. Bowman,Virginia Tech,Zc7YEbgAAAAJ
755,Kana Shimizu,Waseda University,#NAME?
756,Tachio Terauchi,Waseda University,#NAME?
757,Dae Hyun Kim,Washington State University,nG4hcN4AAAAJ
758,Amiangshu Bosu,Wayne State University,kIrGUa8AAAAJ
759,Tamar Flash,Weizmann Institute of Science,#NAME?
760,Hany H. Ammar,West Virginia University,#NAME?
761,Robert E. Webber,Western University,A4nm80EAAAAJ
762,Hongsheng He,Wichita State University,#NAME?
763,Krishna K. Venkatasubramanian,Worcester Polytechnic Institute,PFlrXooAAAAJ
764,Hao Li,Xi'an Jiaotong University,#NAME?
765,Weisheng Dong,Xidian University,g58LsoAAAAJ
766,Abraham Silberschatz,Yale University,#NAME?
767,Marynel Vázquez,Yale University,#NAME?
768,Songul Albayrak,Yıldız Technical University,LF5HfgEAAAAJ
769,Jinfei Liu,Zhejiang University,kqAPqYAAAAAJ
770,Zhaohui Wu,Zhejiang University,qV631P8AAAAJ
771,Jian Liu,Zhejiang University,#NAME?
772,Youyi Zheng,Zhejiang University,7gA-o6gAAAAJ
773,Lu Chen,Zhejiang University,gLOpEaIAAAAJ
